Year,Month,Forecast Volume,Actual Volume
2019,January,29597,14258
2019,February,24129,11939
2019,March,25301,16202
2019,April,34235,16894
2019,May,30004,19323
2019,June,35652,21467
2019,July,17806,25813
2019,August,18489,29063
2019,September,20383,22936
2019,October,21678,21435
2019,November,21264,21483
2019,December,20853,31263
2020,January,20368,32353
2020,February,16635,25372
2020,March,19585,14931
2020,April,17619,79
2020,May,27140,65
2020,June,26366,4004
2020,July,22154,3047
2020,August,26320,10983
2020,September,5212,12471
2020,October,9281,9251
2020,November,12798,6005
2020,December,14182,15979
2021,January,9008,18054
2021,February,8731,14638
2021,March,15590,9926
2021,April,25750,21317
2021,May,28397,22546
2021,June,28950,23587
2021,July,30518,
2021,August,30587,
2021,September,25827,
2021,October,24403,
2021,November,26188,
2021,December,29293,
